split,model,n,MAE,RMSE,R2
leave_hectares_1_out,reference_total_yield_rf,250,5729.3547131681335,5732.36399562629,-1319.5907714829802
leave_hectares_1_out,corrected_per_hectare_rf,250,136.66849543984821,162.0125125118068,-0.05486735687952038
leave_hectares_2_out,reference_total_yield_rf,399,4121.163188251664,4148.147563422695,-167.39127698139356
leave_hectares_2_out,corrected_per_hectare_rf,399,273.3021309192743,330.6094594391458,-0.06965012635362555
leave_hectares_3_out,reference_total_yield_rf,490,3677.113908008941,3738.0167410776376,-62.232021597721406
leave_hectares_3_out,corrected_per_hectare_rf,490,409.0359185972333,486.50018931440275,-0.07107679398525368
leave_hectares_4_out,reference_total_yield_rf,600,6521.072924305092,6619.5621791521335,-40.909786100179744
leave_hectares_4_out,corrected_per_hectare_rf,600,1614.9285086283005,1780.4519822320628,-2.0319179440837596
leave_hectares_5_out,reference_total_yield_rf,850,4520.154952094703,4666.828124236089,-28.733623704056793
leave_hectares_5_out,corrected_per_hectare_rf,850,821.0525330887838,1030.2069085287294,-0.4489491479953389
leave_hectares_6_out,reference_total_yield_rf,200,5309.45658513712,5547.9633566502,-10.286323118749998
leave_hectares_6_out,corrected_per_hectare_rf,200,1449.2605611622196,1885.1581017211613,-0.3031093754187766
